"date","post_url","doc_id","file","status"
"2017-07-19","https://vk.com/wall-141369129_135","89582090_448185664","Protokol_16_07_17.docx","fail: HTTP 504"
"2017-07-19","https://vk.com/wall-141369129_135","89582090_448185671","5km_obschie_rezultaty (1)_89582090_448185671.xlsx","ok"
"2017-07-19","https://vk.com/wall-141369129_135","89582090_448185674","SochiMarafon_89582090_448185674.xlsx","ok"
"2017-07-12","https://vk.com/wall-141369129_131","89582090_447930290","Protokol_9_07_17.docx","ok"
"2017-07-12","https://vk.com/wall-141369129_131","89582090_447930405","5km_obschie_rezultaty.xlsx","fail: HTTP 504"
"2017-07-12","https://vk.com/wall-141369129_131","89582090_447930433","SochiMarafon_89582090_447930433.xlsx","ok"
"2017-06-25","https://vk.com/wall-141369129_114","142603307_446973075","5км общие результаты.xlsx","ok"
"2017-07-03","https://vk.com/wall-141369129_124","142603307_447276815","SochiMarafon_142603307_447276815.xlsx","ok"
"2017-07-03","https://vk.com/wall-141369129_124","142603307_447276822","Протокол 2.07.17.docx","ok"
"2017-06-25","https://vk.com/wall-141369129_114","142603307_446972994","Протокол 25.06.17.docx","ok"
"2017-06-25","https://vk.com/wall-141369129_114","142603307_446973076","SochiMarafon_142603307_446973076.xlsx","ok"
"2017-06-18","https://vk.com/wall-141369129_109","142603307_446687809","5км общие результаты_142603307_446687809.xlsx","ok"
"2017-06-18","https://vk.com/wall-141369129_109","142603307_446687811","SochiMarafon_142603307_446687811.xlsx","ok"
"2017-06-18","https://vk.com/wall-141369129_109","142603307_446687835","Протокол 18.06.17.docx","ok"
"2017-06-11","https://vk.com/wall-141369129_107","142603307_446377071","Probegi_na_5km_rezultaty.xlsx","ok"
"2017-06-11","https://vk.com/wall-141369129_107","142603307_446377072","SochiMarafon_142603307_446377072.xlsx","ok"
"2017-06-11","https://vk.com/wall-141369129_107","142603307_446377073","Протокол 11.06.17.docx","ok"
"2017-06-04","https://vk.com/wall-141369129_105","142603307_446076213","Пробеги на 5км результаты.xlsx","ok"
"2017-06-04","https://vk.com/wall-141369129_105","142603307_446076214","СочиМарафон.xlsx","ok"
"2017-06-04","https://vk.com/wall-141369129_105","142603307_446076221","Протокол 4.06.17.docx","ok"
"2017-05-28","https://vk.com/wall-141369129_101","142603307_445767291","Протокол 28.05.17.docx","ok"
"2017-05-21","https://vk.com/wall-141369129_92","142603307_445490799","Протокол 21.05.17.docx","ok"
"2017-05-12","https://vk.com/wall-141369129_86","142603307_445088294","probeg_14_maya.docx","ok"
"2017-05-12","https://vk.com/wall-141369129_85","142603307_445145918","Протокол 7.05.17.docx","ok"
"2017-05-01","https://vk.com/wall-141369129_70","142603307_444714703","Протокол 30.04.17.docx","ok"
"2017-04-16","https://vk.com/wall-141369129_60","142603307_444178607","Протокол 16.04.17.docx","fail: HTTP 504"
"2017-04-10","https://vk.com/wall-141369129_56","142603307_443954583","Протокол 9.04.17.docx","ok"
"2017-04-02","https://vk.com/wall-141369129_52","142603307_443703742","Протокол 2.04.17.docx","ok"
"2017-03-26","https://vk.com/wall-141369129_46","142603307_443453266","Протокол 26.03.17.docx","ok"
"2017-03-20","https://vk.com/wall-141369129_44","142603307_443290456","Протокол 5.03.17.docx","ok"
"2017-03-20","https://vk.com/wall-141369129_44","142603307_443291156","Протокол 12.03.17.docx","ok"
"2017-03-20","https://vk.com/wall-141369129_44","142603307_443291685","Протокол 19.03.17.docx","ok"
"2017-03-19","https://vk.com/wall-141369129_41","142603307_443246580","Парковый Пробег (19.03.17).xlsx","fail: HTTP 403"
"2017-03-12","https://vk.com/wall-141369129_29","142603307_443062832","Парковый Пробег (12.03.17).xlsx","ok"
"2017-03-05","https://vk.com/wall-141369129_17","142603307_442875284","Протокол 5.03.17.xlsx","ok"
